nom_estab,items,prediction
HUI XIN RESTAURANTE DE COMIDA CHINA,"['MOLIDA', 'GOUDA', 'ESPALDILLA', 'CARNE', 'BACON', 'TOCINO']","['DIEZMILLO', 'CHILE', 'FLAUTAS']"
VITANTI RESTAURANTE,"['COCOA', 'CHILE']",['MOLIDA']
RESTAURANTE ARIECCHINO,"['PASTA', 'CACHETE', 'COCOA', 'COFFEE']",['SALMON']
HOTEL MISION,"['MORTADELA', 'MANCHEGO', 'TOCINO', 'CARNE']",['FLAUTAS']
LA TORRADA RESTAURANTE,"['COFFEE', 'BISTEC', 'MORTADELA', 'CARNITAS/PIERNA', 'GOUDA', 'MANTEQUILLA']",['SALMON']
RESTAURANTE TIO LALO,"['ADEREZO', 'T-BONE', 'LENGUA', 'GALLETA', 'CUBOS', 'PAPRIKA', 'DIEZMILLO']","['SALSA', 'BACON']"
RESTAURANTE IDOLOS DEL RIN,"['AJO', 'LENGUA', 'CARNE', 'ELOTE', 'GOUDA']",['SALSA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['RIBEYE', 'HUESO', 'MACHACA', 'TOCINO', 'SALSA', 'TOMAHAWK']","['LENGUA', 'FLAUTAS']"
HOTEL PALACIO,"['PAPA', 'COCOA', 'PURE', 'LENGUA', 'CAFE']",['SALSA']
RESTAURANTE LOS RODRIGUEZ,"['HUESO', 'LENGUA', 'JAMON', 'VEAL', 'DIEZMILLO', 'ELOTE', 'DULCE']","['SALSA', 'BACON']"
MINIRESTAURANTE EL CHINO,"['SURIMI', 'LOMO', 'ARRACHERA', 'PECHUGA']",['LECHE']
HOTEL POSADA,"['MERMELADA', 'ADOBADA', 'POLLO', 'TOMAHAWK', 'PIERNA', 'LECHE']",['ARRACHERA']
RESTAURANTE IDOLOS DEL RIN,"['TOMAHAWK', 'CORTADILLO', 'FLAUTAS']","['TOCINO', 'PANELA']"
RESTAURANTE BONDIA,"['SALCHICHA', 'PASTEL', 'NUGGET', 'MILANESA', 'CHILE', 'T-BONE', 'MOLLEJA']",['MOLIDA']
RESTAURANTE IDOLOS DEL RIN,"['JUGO', 'COCOA', 'FLAUTAS', 'COFFEE']","['TOCINO', 'SALMON']"
RESTAURANTE JOSEPHINOS,"['AJO', 'FLAUTAS', 'POLLO', 'FLAN', 'TOMAHAWK', 'MARGARINA', 'PAVO']",['TOCINO']
RESTAURANTE EL BUEN PALADAR,"['ARRACHERA', 'FILETE', 'PIZZA', 'GALLETA']",['LECHE']
LA TORRADA RESTAURANTE,"['YEMA', 'CACHETE', 'JAMON', 'ADOBADA', 'CHILE']",['MOLIDA']
HOTEL HOLIDAY IN EXPRESS,"['COSTILLA', 'CHEESECAKE', 'FLAN', 'CHILE', 'ACEITE', 'QUESO']",['MOLIDA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['CARNE', 'SHOULDER', 'COFFEE', 'JUGO', 'WHIP', 'MOLIDA', 'PHILADELPHIA']","['CHILE', 'SALMON']"
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['FLAUTAS', 'MOLLEJA', 'BRISKET', 'CAFE', 'QUESO', 'PORTERHOUSE']",['TOCINO']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['SURIMI', 'CREMA', 'ADOBADA', 'CARNITAS/PIERNA', 'LENGUA']",['SALSA']
RESTAURANTE FINOS,"['BACON', 'COWBOY', 'PIERNA', 'ALITA', 'TOMATE', 'MIEL']",['DIEZMILLO']
HOTEL PALACIO,"['MORTADELA', 'MOLIDA', 'CHEESECAKE', 'COCOA', 'NUGGET', 'PAPA']",['CHILE']
RESTAURANTE LOS RODRIGUEZ,"['SALMON', 'PIZZA', 'DULCE', 'MERMELADA', 'BRISKET', 'PAPA', 'BACON']","['DIEZMILLO', 'COFFEE']"
EL MAGO RESTAURANTE Y BANQUETES,"['CHILE', 'SALCHICHA', 'MENUDO', 'ENDULZANTE', 'SAZONADOR', 'TOMAHAWK', 'MILANESA']",['MOLIDA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['MARGARINA', 'GALLETA', 'SURIMI', 'MANCHEGO', 'CHULETA', 'SALCHICHA', 'ARRACHERA']",['LECHE']
HUI XIN RESTAURANTE DE COMIDA CHINA,"['COFFEE', 'SALCHICHA', 'JAMON', 'ALITA', 'DULCE', 'SHOULDER']",['SALMON']
HOTEL OASIS,"['DESHEBRADA', 'PULPO', 'ADEREZO', 'CHILE', 'PIMIENTA', 'CAFE', 'CHORIZO']",['MOLIDA']
CALLE 7 RESTAURANTE,"['LENGUA', 'MANCHEGO', 'JALAPENOS', 'YEMA', 'BONELESS', 'ELOTE', 'FLAN']",['SALSA']
MINIRESTAURANTE EL CHINO,"['BONELESS', 'DIEZMILLO', 'DULCE', 'PEPPERONI', 'VEAL']",['BACON']
RESTAURANTE CHAYITO,"['FAJITA', 'ARRACHERA', 'COCOA', 'ACEITE']",['LECHE']
HOTEL OASIS,"['CHEESECAKE', 'ESPALDILLA', 'ADOBADA', 'MOLLEJA', 'GOUDA', 'CHILE']",['MOLIDA']
RESTAURANTE LA POSADA,"['COFFEE', 'MARGARINA', 'POLLO', 'WHIP', 'ESPALDILLA']",['SALMON']
CALLE 7 RESTAURANTE,"['HAMBURGUESA', 'YOGHURT', 'DULCE', 'FLAUTAS', 'PIERNA', 'ESPALDILLA']",['TOCINO']
MINIRESTAURANTE EL CHINO,"['YOGHURT', 'CHICHARRON', 'PAVO', 'PULPO', 'MOSTAZA', 'BACON', 'PEPPERONI']",['DIEZMILLO']
HOTEL POSADA,"['PURE', 'GOUDA', 'SURIMI', 'MOLIDA', 'ENDULZANTE', 'T-BONE']",['CHILE']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['RIBEYE', 'SALMON', 'AJO', 'PEPPERONI', 'CAFE']",['COFFEE']
RESTAURANTE LA POSADA,"['ROAST', 'CUBOS', 'SALAMI', 'LOMO', 'MOLIDA', 'MANTEQUILLA']",['CHILE']
RESTAURANTE CHAYITO,"['MOSTAZA', 'PEPPERONI', 'TOCINO', 'NUGGET', 'SALCHICHA', 'MENUDO']",['FLAUTAS']
RESTAURANTE DE MARISCOS EL ROJO,"['MOLIDA', 'ADEREZO', 'AJO', 'BACON', 'PIMIENTA', 'JALAPENOS']","['DIEZMILLO', 'CHILE']"
LA RONDA RESTAURANTE,"['PASTA', 'MOLLEJA', 'DIEZMILLO', 'COCOA', 'T-BONE', 'DESHEBRADA', 'MACHACA']",['BACON']
RESTAURANTE LOS RODRIGUEZ,"['LENGUA', 'FLAUTAS', 'PULPO', 'COSTILLA', 'PIERNA', 'ACEITUNA']","['SALSA', 'TOCINO']"
RESTAURANTE TIO LALO,"['BACON', 'LENGUA', 'PANELA', 'COSTILLA', 'FLAUTAS', 'MILANESA']","['SALSA', 'TOCINO', 'DIEZMILLO', 'CORTADILLO']"
HUI XIN RESTAURANTE DE COMIDA CHINA,"['ESPALDILLA', 'CAMARON', 'CHILE', 'CHORIZO', 'HUESO', 'TOMAHAWK']",['MOLIDA']
MINIRESTAURANTE EL CHINO,"['TOCINO', 'ROAST', 'ACEITE', 'ESPALDILLA', 'GOUDA', 'MANTEQUILLA', 'MORTADELA']",['FLAUTAS']
VITANTI RESTAURANTE,"['ATUN', 'COCOA', 'COFFEE', 'FAJITA', 'MACHACA', 'DIEZMILLO', 'WHIP']","['BACON', 'SALMON']"
MINIRESTAURANTE EL CHINO,"['MARGARINA', 'PAPA', 'ARRACHERA', 'COSTILLA', 'QUESO', 'BRISKET']",['LECHE']
RESTAURANTE BERNAL,"['RIBEYE', 'PASTEL', 'DIEZMILLO', 'PANELA']","['BACON', 'CORTADILLO']"
RESTAURANTE JOSEPHINOS,"['ESPALDILLA', 'SALSA', 'PECHUGA', 'CAFE', 'PAPRIKA', 'MORTADELA']",['LENGUA']
HOTEL OASIS,"['MIEL', 'ACEITE', 'PANELA', 'ALITA', 'LECHE', 'CAMARON']","['ARRACHERA', 'CORTADILLO']"
MINIRESTAURANTE EL CHINO,"['SAZONADOR', 'PIERNA', 'CHAMPIÑONES', 'GALLETA', 'ACEITE', 'SALSA', 'PASTA']",['LENGUA']
HOTEL EL REGIO,"['GALLETA', 'HAMBURGUESA', 'T-BONE', 'RIBEYE', 'BACON', 'NUGGET']",['DIEZMILLO']
RESTAURANTE IDOLOS DEL RIN,"['CAMARON', 'LENGUA']",['SALSA']
RESTAURANTE  LA  FUNDACION,"['ARRACHERA', 'CHICHARRON', 'ESPALDILLA', 'GALLETA', 'COWBOY']",['LECHE']
RESTAURANTE LA POSADA,"['SAZONADOR', 'COSTILLA', 'RIBEYE', 'BACON', 'T-BONE']",['DIEZMILLO']
HOTEL HOLIDAY IN EXPRESS,"['SURIMI', 'CHILE', 'PULPO', 'CARNITAS/PIERNA', 'PEPPERONI', 'SHOULDER', 'CREMA']",['MOLIDA']
HOTEL REGIS,"['CHAMPIÑONES', 'CHILE', 'LECHE', 'MACHACA', 'GALLETA']","['MOLIDA', 'ARRACHERA']"
HOTEL CAMINO REAL,"['YOGHURT', 'CORTADILLO', 'MOSTAZA']",['PANELA']
RESTAURANTE IDOLOS DEL RIN,"['SALSA', 'FAJITA', 'MOLLEJA', 'PASTEL', 'ADOBADA', 'SALCHICHA']",['LENGUA']
RESTAURANTE IDOLOS DEL RIN,"['PIMIENTA', 'ESPALDILLA', 'MAYONESA', 'BACON', 'CUBOS', 'CHICHARRON', 'HUEVO']",['DIEZMILLO']
RESTAURANTE JOSEPHINOS,"['ACEITUNA', 'MERMELADA', 'CAFE', 'CREMA', 'AJO', 'SALSA', 'PASTA']",['LENGUA']
CHE PEBETA RESTAURANTE ARGENTINO,"['VEAL', 'SHOULDER', 'CHAMPIÑONES', 'FLAUTAS']",['TOCINO']
RESTAURANTE MI KASA,"['TOMAHAWK', 'VEAL', 'PULPA', 'BRISKET', 'LENGUA']",['SALSA']
RESTAURANTE CHAYITO,"['CHORIZO', 'COFFEE', 'LOMO', 'MAYONESA', 'MOSTAZA']",['SALMON']
LOS TORILES RESTAURANTE,"['QUESO', 'FLAN', 'JAMON', 'TOMATE', 'SALSA', 'ESPALDILLA', 'SALAMI']",['LENGUA']
RESTAURANTE  LA  FUNDACION,"['SALMON', 'PHILADELPHIA', 'PULPO', 'CHULETA', 'PIERNA']",['COFFEE']
HOTEL REGIS,"['SALAMI', 'MACHACA', 'SURIMI', 'JALAPENOS', 'LECHE', 'DIEZMILLO']","['ARRACHERA', 'BACON']"
HOTEL EL REGIO,"['ATUN', 'LENGUA', 'YEMA', 'JAMON', 'ACEITUNA', 'FILETE', 'YOGHURT']",['SALSA']
RESTAURANTE  LA  FUNDACION,"['MACHACA', 'PEPPERONI', 'PIMIENTA', 'LENGUA', 'MORTADELA', 'MOLIDA', 'FAJITA']","['SALSA', 'CHILE']"
RESTAURANTE BONDIA,"['PECHUGA', 'NUGGET', 'CHILE', 'COSTILLA', 'DIEZMILLO']","['MOLIDA', 'BACON']"
HOTEL OASIS,"['TOMATE', 'MORTADELA', 'JUGO', 'BISTEC', 'ENDULZANTE', 'FLAUTAS']",['TOCINO']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['JALAPENOS', 'BACON', 'CHAMPIÑONES', 'CHICHARRON', 'TOCINO']","['DIEZMILLO', 'FLAUTAS']"
EL MAGO RESTAURANTE Y BANQUETES,"['TOMATE', 'BACON', 'MIEL', 'PULPA', 'TOMAHAWK', 'SHOULDER', 'COWBOY']",['DIEZMILLO']
HOTEL POSADA,"['PIERNA', 'PECHUGA', 'BRISKET', 'ENDULZANTE', 'MOLIDA', 'LECHE']","['CHILE', 'ARRACHERA']"
HOTEL MISION,"['BACON', 'CATSUP', 'JAMON', 'MORTADELA', 'SALCHICHA']",['DIEZMILLO']
CALLE 7 RESTAURANTE,"['CACHETE', 'YOGHURT', 'CHICHARRON', 'CHEESECAKE', 'CHULETA', 'PANELA', 'CUBOS']",['CORTADILLO']
VITANTI RESTAURANTE,"['MANTEQUILLA', 'CAFE', 'CHEESECAKE', 'FAJITA', 'CHULETA', 'ARRACHERA', 'MANCHEGO']",['LECHE']
RESTAURANTE VERDENIA,"['CACHETE', 'SALSA']",['LENGUA']
RESTAURANTE FLOR DE TOKIO,"['QUESO', 'ENDULZANTE', 'TOCINO', 'DIEZMILLO', 'SURIMI', 'CHORIZO']","['BACON', 'FLAUTAS']"
RESTAURANTE FLOR DE TOKIO,"['DULCE', 'CHILE', 'POLLO', 'JUGO', 'SHOULDER']",['MOLIDA']
RESTAURANTE EL BUEN PALADAR,"['PULPA', 'MACHACA', 'TOCINO', 'MERMELADA', 'ESPALDILLA', 'BISTEC', 'MIEL']",['FLAUTAS']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['BISTEC', 'BACON', 'SALCHICHA']",['DIEZMILLO']
RESTAURANTE BONDIA,"['SALCHICHA', 'SAZONADOR', 'COFFEE', 'ESPALDILLA', 'PHILADELPHIA']",['SALMON']
CHE PEBETA RESTAURANTE ARGENTINO,"['PORTERHOUSE', 'BRISKET', 'LECHE', 'SALCHICHA', 'HUEVO']",['ARRACHERA']
GAMMA DE FIESTA AMERCIANA GRAN HOTEL ANCIRA,"['MOLIDA', 'GALLETA', 'MOLLEJA', 'HUESO', 'BONELESS']",['CHILE']
RESTAURANTE Y TAQUERIA MI GENERAL,"['CAFE', 'CUBOS', 'PEPPERONI', 'BISTEC', 'BACON', 'AJO', 'PASTA']",['DIEZMILLO']
EL MAGO RESTAURANTE Y BANQUETES,"['ELOTE', 'BONELESS', 'SURIMI', 'FLAUTAS']",['TOCINO']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['ACEITUNA', 'CORTADILLO', 'SHOULDER', 'DULCE', 'BONELESS']",['PANELA']
EL MAGO RESTAURANTE Y BANQUETES,"['PAVO', 'PULPO', 'ARRACHERA', 'PIERNA', 'DULCE', 'MANTEQUILLA', 'MOLLEJA']",['LECHE']
RESTAURANTE CHAYITO,"['BRISKET', 'CHULETA', 'FLAUTAS', 'CATSUP', 'PHILADELPHIA', 'AJO', 'DESHEBRADA']",['TOCINO']
RESTAURANTE DE MARISCOS SIN NOMBRE,"['SAZONADOR', 'MARGARINA', 'SALMON', 'ADEREZO']",['COFFEE']
RESTAURANTE LOS RODRIGUEZ,"['CHEESECAKE', 'PIZZA', 'PEPPERONI', 'SALSA', 'AJO']",['LENGUA']
HOTEL OASIS,"['DESHEBRADA', 'AJO', 'CUBOS', 'MORTADELA', 'RIBEYE', 'MEDALLON', 'LENGUA']",['SALSA']
HOTEL PALACIO,"['SALSA', 'CACHETE', 'ENDULZANTE', 'BONELESS']",['LENGUA']
RESTAURANTE BONDIA,"['FLAUTAS', 'DULCE', 'MEDALLON', 'PAPRIKA', 'JUGO', 'JALAPENOS']",['TOCINO']
HOTEL OASIS,"['GALLETA', 'PURE', 'CHEESECAKE', 'ARRACHERA']",['LECHE']
CHE PEBETA RESTAURANTE ARGENTINO,"['PULPA', 'LENGUA', 'PAPRIKA', 'PASTA', 'CHEESECAKE']",['SALSA']
LOS TORILES RESTAURANTE,"['MERMELADA', 'PEPPERONI', 'COFFEE', 'ROAST']",['SALMON']
