id_detalle,id_pedido,id_producto,cantidad
1,1,17,1
2,1,40,22
3,1,99,28
4,1,53,19
5,1,44,10
6,2,43,23
7,2,37,28
8,2,16,6
9,2,63,31
10,2,96,24
11,2,96,24
12,2,9,23
13,3,25,26
14,3,22,22
15,4,66,21
16,4,60,24
17,4,31,29
18,4,72,26
19,4,39,30
20,4,47,23
21,5,13,24
22,5,71,14
23,5,25,23
24,5,13,20
25,5,26,28
26,6,87,28
27,6,16,28
28,6,97,18
29,6,87,21
30,6,95,24
31,6,62,6
32,7,65,1
33,7,16,18
34,7,96,21
35,7,54,16
36,8,15,15
37,8,17,20
38,8,20,30
39,8,1,3
40,8,75,24
41,9,26,28
42,9,65,18
43,9,10,26
44,9,17,23
45,9,43,15
46,9,55,5
47,10,43,28
48,10,12,2
49,10,59,24
50,10,16,16
51,11,3,18
52,11,95,1
53,11,42,20
54,11,31,16
55,11,70,16
56,11,51,10
57,11,33,18
58,12,55,12
59,13,30,29
60,13,81,20
61,13,67,24
62,13,8,24
63,13,73,3
64,13,21,10
65,13,52,23
66,14,43,18
67,14,35,22
68,14,5,2
69,14,51,1
70,14,16,26
71,15,17,24
72,15,20,30
73,15,75,30
74,15,100,2
75,15,62,20
76,15,99,11
77,16,18,23
78,16,76,29
79,16,77,28
80,16,57,6
81,16,45,20
82,17,60,18
83,17,49,20
84,18,86,17
85,18,91,20
86,18,97,24
87,18,45,29
88,18,53,24
89,18,96,12
90,19,51,2
91,19,69,12
92,19,14,20
93,19,25,11
94,19,84,28
95,20,89,31
96,20,55,15
97,20,52,24
98,20,37,15
99,20,44,6
100,20,60,24
101,20,39,17
102,21,99,18
103,21,51,23
104,21,34,11
105,21,48,21
106,21,45,20
107,21,33,18
108,21,35,6
109,22,10,23
110,22,87,22
111,22,3,28
112,22,60,24
113,23,74,23
114,23,7,24
115,23,94,16
116,23,52,5
117,23,94,29
118,24,60,24
119,24,4,23
120,24,50,24
121,24,80,18
122,24,60,11
123,24,97,9
124,24,77,23
125,25,97,24
126,25,41,23
127,25,27,10
128,26,59,22
129,26,56,28
130,26,43,2
131,26,25,16
132,27,89,20
133,27,86,15
134,27,17,11
135,27,95,1
136,27,14,9
137,27,21,1
138,28,62,20
139,28,22,15
140,28,89,15
141,28,64,27
142,28,95,18
143,28,72,9
144,28,67,24
145,29,41,16
146,29,49,22
147,29,26,3
148,29,25,24
149,30,41,29
150,30,80,11
151,30,40,1
152,30,73,15
153,30,5,9
154,30,97,3
155,30,56,3
156,31,42,20
157,31,39,23
158,31,79,17
159,31,7,16
160,32,28,2
161,32,12,18
162,32,65,22
163,32,23,28
164,32,92,27
165,32,12,18
166,32,58,20
167,33,61,15
168,33,24,16
169,33,80,29
170,33,77,18
171,34,100,15
172,34,24,23
173,34,46,14
174,34,76,24
175,35,22,25
176,35,101,29
177,35,13,24
178,35,48,24
179,35,4,15
180,36,22,6
181,36,28,26
182,36,40,24
183,36,1,23
184,36,20,1
185,36,85,15
186,37,37,22
187,37,102,20
188,37,86,30
189,37,83,21
190,38,92,2
191,38,45,29
192,38,57,24
193,38,23,20
194,38,95,2
195,39,1,3
196,39,83,24
197,39,98,11
198,39,53,15
199,39,10,23
200,40,93,15
201,40,12,6
202,40,60,30
203,40,93,11
204,40,101,20
205,41,19,28
206,41,4,11
207,41,86,28
208,41,87,18
209,41,5,16
210,42,56,23
211,42,65,20
212,42,83,9
213,42,62,24
214,42,42,6
215,42,11,15
216,42,8,1
217,43,102,15
218,43,84,24
219,43,79,15
220,43,73,28
221,43,17,23
222,44,63,28
223,44,16,23
224,44,76,15
225,44,26,27
226,44,100,30
227,44,93,16
228,44,49,11
229,45,64,28
230,45,41,28
231,45,85,17
232,45,81,9
233,45,12,20
234,45,14,9
235,46,94,26
236,46,17,28
237,46,51,23
238,46,4,21
239,46,30,23
240,47,9,29
241,47,77,24
242,47,98,21
243,47,6,22
244,47,61,31
245,47,29,23
246,48,35,16
247,48,42,29
248,48,30,15
249,48,87,30
250,48,21,9
251,49,20,9
252,49,65,29
253,49,67,28
254,49,63,28
255,49,25,24
256,49,69,10
257,49,25,24
258,50,98,1
259,51,90,24
260,51,60,6
261,51,12,17
262,51,9,17
263,51,34,30
264,51,69,11
265,51,79,23
266,52,71,24
267,52,55,16
268,52,87,18
269,52,18,24
270,53,11,16
271,54,11,23
272,54,13,17
273,54,44,21
274,54,52,14
275,55,45,27
276,55,77,24
277,55,66,18
278,55,72,22
279,55,70,28
280,55,99,18
281,56,86,2
282,56,32,1
283,57,36,20
284,57,22,23
285,57,92,30
286,57,97,29
287,57,62,30
288,57,89,18
289,57,59,28
290,58,94,24
291,58,56,18
292,58,7,20
293,58,89,10
294,58,54,6
295,58,42,18
296,58,24,24
297,59,6,26
298,59,48,20
299,59,89,1
300,59,26,9
301,59,93,15
302,59,34,22
303,60,45,15
304,60,16,30
305,60,32,24
306,60,49,27
307,60,98,3
308,60,31,18
309,60,5,19
310,61,58,31
311,61,25,21
312,61,30,15
313,61,19,24
314,61,46,20
315,62,1,24
316,62,79,23
317,63,14,16
318,63,23,23
319,63,83,17
320,63,78,29
321,63,32,24
322,63,3,23
323,63,22,23
324,64,40,27
325,64,47,17
326,64,101,21
327,64,51,2
328,64,35,30
329,64,11,18
330,64,54,29
331,65,60,15
332,65,14,29
333,65,30,21
334,65,31,21
335,65,42,24
336,65,80,28
337,66,75,9
338,66,11,26
339,66,33,22
340,66,34,16
341,66,99,28
342,67,86,29
343,67,18,15
344,67,53,30
345,67,19,19
346,67,82,23
347,68,1,16
348,68,25,10
349,68,7,23
350,68,38,20
351,69,74,21
352,69,95,17
353,69,44,11
354,70,20,22
355,70,43,9
356,70,4,25
357,70,22,4
358,70,37,11
359,70,64,15
360,71,26,24
361,71,37,29
362,71,100,11
363,71,80,24
364,71,56,27
365,72,37,15
366,72,44,6
367,72,34,29
368,72,102,26
369,72,41,22
370,72,77,15
371,73,78,6
372,73,15,29
373,73,3,2
374,73,43,20
375,73,71,1
376,74,102,21
377,74,66,15
378,74,83,1
379,74,21,24
380,74,75,20
381,74,9,29
382,74,73,23
383,75,93,9
384,75,64,30
385,76,64,12
386,76,67,21
387,76,29,24
388,76,31,6
389,76,18,1
390,76,12,16
391,77,43,10
392,77,84,24
393,77,94,24
394,77,36,18
395,77,95,3
396,77,63,24
397,78,14,2
398,78,75,24
399,78,5,21
400,78,86,11
401,78,90,20
402,79,63,24
403,79,52,24
404,79,87,4
405,79,88,12
406,79,55,20
407,79,31,30
408,80,96,23
409,80,66,29
410,80,75,16
411,80,59,30
412,80,67,9
413,80,89,20
414,81,78,14
415,81,63,11
416,81,47,15
417,81,9,16
418,81,3,2
419,81,5,23
420,81,3,28
421,82,42,28
422,82,98,19
423,82,80,24
424,82,78,29
425,82,75,28
426,82,75,14
427,82,14,29
428,83,33,6
429,83,71,24
430,83,32,30
431,83,25,21
432,83,95,23
433,83,53,23
434,83,64,18
435,84,83,19
436,84,28,16
437,84,77,20
438,84,41,6
439,84,2,25
440,84,51,28
441,85,46,16
442,85,2,24
