id_pedido,id_cliente,fechapedido,fechaentrega,cancelado
1,74,01/01/20,02/01/20,FALSE
2,19,01/01/20,02/01/20,FALSE
3,89,01/01/20,02/01/20,FALSE
4,61,01/01/20,02/01/20,FALSE
5,24,01/01/20,02/01/20,FALSE
6,31,01/01/20,02/01/20,FALSE
7,27,01/01/20,02/01/20,FALSE
8,11,01/01/20,02/01/20,FALSE
9,23,01/01/20,02/01/20,FALSE
10,25,01/01/20,02/01/20,FALSE
11,10,01/01/20,03/01/20,FALSE
12,6,01/01/20,03/01/20,FALSE
13,16,01/01/20,03/01/20,FALSE
14,15,01/01/20,03/01/20,TRUE
15,30,01/01/20,03/01/20,FALSE
16,28,01/01/20,03/01/20,FALSE
17,32,01/01/20,03/01/20,FALSE
18,13,01/01/20,03/01/20,FALSE
19,9,01/01/20,03/01/20,FALSE
20,24,01/01/20,03/01/20,FALSE
21,36,02/01/20,03/01/20,FALSE
22,26,02/01/20,03/01/20,FALSE
23,20,02/01/20,03/01/20,FALSE
24,32,02/01/20,03/01/20,FALSE
25,15,02/01/20,03/01/20,FALSE
26,30,02/01/20,03/01/20,FALSE
27,10,02/01/20,03/01/20,FALSE
28,26,02/01/20,04/01/20,TRUE
29,15,02/01/20,04/01/20,FALSE
30,28,02/01/20,04/01/20,FALSE
31,4,02/01/20,04/01/20,FALSE
32,17,02/01/20,04/01/20,FALSE
33,11,02/01/20,04/01/20,FALSE
34,25,02/01/20,04/01/20,FALSE
35,23,02/01/20,04/01/20,FALSE
36,29,02/01/20,04/01/20,FALSE
37,6,02/01/20,04/01/20,FALSE
38,15,02/01/20,04/01/20,FALSE
39,36,02/01/20,04/01/20,FALSE
40,13,02/01/20,04/01/20,FALSE
41,3,02/01/20,04/01/20,FALSE
42,37,02/01/20,04/01/20,FALSE
43,26,02/01/20,04/01/20,FALSE
44,97,02/01/20,04/01/20,FALSE
45,97,02/01/20,04/01/20,FALSE
46,13,03/01/20,04/01/20,FALSE
47,2,03/01/20,04/01/20,FALSE
48,14,03/01/20,04/01/20,FALSE
49,9,03/01/20,04/01/20,FALSE
50,13,03/01/20,04/01/20,FALSE
51,36,03/01/20,04/01/20,FALSE
52,75,03/01/20,04/01/20,TRUE
53,37,03/01/20,04/01/20,FALSE
54,97,03/01/20,04/01/20,FALSE
55,37,03/01/20,04/01/20,FALSE
56,4,03/01/20,04/01/20,FALSE
57,5,03/01/20,04/01/20,FALSE
58,13,03/01/20,04/01/20,FALSE
59,19,03/01/20,06/01/20,FALSE
60,11,03/01/20,06/01/20,FALSE
61,80,03/01/20,06/01/20,FALSE
62,30,03/01/20,06/01/20,FALSE
63,7,03/01/20,06/01/20,FALSE
64,69,03/01/20,06/01/20,FALSE
65,17,03/01/20,06/01/20,FALSE
66,20,03/01/20,06/01/20,FALSE
67,75,04/01/20,06/01/20,FALSE
68,16,04/01/20,06/01/20,FALSE
69,12,04/01/20,06/01/20,FALSE
70,31,04/01/20,06/01/20,FALSE
71,33,04/01/20,06/01/20,FALSE
72,69,04/01/20,06/01/20,FALSE
73,36,04/01/20,06/01/20,FALSE
74,20,04/01/20,06/01/20,FALSE
75,23,04/01/20,06/01/20,FALSE
76,14,04/01/20,06/01/20,FALSE
77,32,04/01/20,06/01/20,FALSE
78,97,04/01/20,06/01/20,FALSE
79,33,04/01/20,06/01/20,FALSE
