lat,long,nombre_act,nom_estab,raz_social,per_ocu,tipo_vial,nom_vial,edificio,edificio_e,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,AGEB_int,geohash5km,tipoUniEco,fecha_alta
25.66472883,-100.2657564,Restaurantes con servicio de preparación de tacos y tortas,TACOS YMENUDO DOÑA MARY,,0 a 5 personas,AVENIDA,CHAPULTEPEC,,,COLONIA,LA  HERRADURA,,,,67140,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,1527,2,1.90E+12,9u8dn,Fijo,2010-07
25.73823354,-100.2906534,Restaurantes con servicio de preparación de antojitos,ANTOJITOS CARMELITA,,0 a 5 personas,CALLE,OJO DE AGUA,,,COLONIA,VILLA LAS PUENTES,,,,66460,19,NuevoLeon,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,1657,35,1.90E+12,9u8dm,Fijo,2019-11
25.28117844,-100.0229237,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,SOLO CARNES DE CALIDAD,,0 a 5 personas,CALLE,JOSE MARIA MORELOS,,,COLONIA,SECCION CENTRO,,,,67350,19,NuevoLeon,4,Allende,1,Ciudad de Allende                                                                                             ,024A,27,190040001024A,9u2zg,Fijo,2014-12
25.7178526,-100.3848815,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",BURGUER BRANCH,,0 a 5 personas,AVENIDA,PASEO DE LOS LEONES,,,COLONIA,CUMBRES 4 SECTOR,,,,64610,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,356A,5,190390001356A,9u8d7,Fijo,2010-07
25.77918375,-100.2755216,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,STAGE,STAGE SA DE CV,6 a 10 personas,AVENIDA,BENITO JUAREZ,,,COLONIA,QUINTAS DE ANAHUAC,,,,66059,19,NuevoLeon,21,General Escobedo,1,Ciudad General Escobedo                                                                                       ,1802,41,1.90E+12,9u8dw,Fijo,2019-11
25.6575051,-100.2619856,Restaurantes con servicio de preparación de tacos y tortas,TORTAS LAS ENDIABLADAS,,11 a 30 personas,AVENIDA,PASEO DE LAS AMERICAS,,,COLONIA,VALLE DE CONTRY,,,,67140,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,1160,13,1.90E+12,9u89y,Fijo,2019-11
24.86055429,-99.5686135,"Bares, cantinas y similares",RESTAURANT BAR VALENTINOS,,0 a 5 personas,CALLE,FRANCISCO I. MADERO,,,COLONIA,LINARES CENTRO,,,,67700,19,NuevoLeon,33,Linares,1,Linares                                                                                                       ,580,31,1.90E+12,9u3jq,Fijo,2010-07
26.50584459,-100.2059521,Restaurantes con servicio de preparación de antojitos,TACOS Y TOSTADAS TIP0 SIBERIA,,0 a 5 personas,AVENIDA,LUIS T. MIRELES,,,COLONIA,HACIENDA LOS MORALE3S,,,,65257,19,NuevoLeon,44,Sabinas Hidalgo,1,Ciudad Sabinas Hidalgo                                                                                        ,032A,1,190440001032A,9u8wz,Semifijo,2019-11
25.66515695,-100.3470574,Restaurantes con servicio de preparación de tacos y tortas,PUESTO DE TACOS PEPE,,0 a 5 personas,CALLE,LOMA GRANDE,,,COLONIA,LOS DOCTORES,,,,64710,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,1845,6,1.90E+12,9u8dh,Semifijo,2019-11
25.84688647,-100.3862038,Restaurantes con servicio de preparación de tacos y tortas,TACOS Y TOSTADAS ESTILO SIBERIA SIN NOMBRE,,0 a 5 personas,CALLE,ARTICULO 5,,,COLONIA,ALIANZA REAL,,,,66050,19,NuevoLeon,21,General Escobedo,1,Ciudad General Escobedo                                                                                       ,1588,7,1.90E+12,9u8e5,Semifijo,2019-11
25.63418866,-100.2722664,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,VANCOUVER WINGS,PROMOTORES Y SUMINISTROS SA DE CV,6 a 10 personas,AVENIDA,REVOLUCION,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,COLONIA,CONTRY LA SILLA,CENTRO Y PLAZA COMERCIAL,PLAZA REVOLUCION,2,64680,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,2218,28,1.90E+12,9u89y,Fijo,2019-11
25.81902066,-100.4012662,Restaurantes con servicio de preparación de antojitos,PUESTO DE GORDITAS Y TACOS DE HARINA,,0 a 5 personas,CALLEJON,SAN PEDRO,,,COLONIA,PRADERAS DE SAN FRANCISCO,,,,66085,19,NuevoLeon,21,General Escobedo,153,Praderas de San Francisco                                                                                     ,81,20,1.90E+12,9u8dg,Fijo,2019-11
25.64346918,-100.2748644,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",GREEN SHAKE,,0 a 5 personas,AVENIDA,ALFONSO REYES,,,COLONIA,COTRY EL TESORO,,,,64850,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,2114,38,1.90E+12,9u89y,Fijo,2019-11
25.61251096,-100.2713241,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",LA TIENDITA ESCOLAR,,0 a 5 personas,AVENIDA,EUGENIO GARZA SADA,,,COLONIA,MEDEROS,,,,64950,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,3767,5,1.90E+12,9u89w,Fijo,2019-11
25.6932281,-100.4272646,Restaurantes con servicio de preparación de tacos y tortas,TAQUERIA SIN NOMBRE,,0 a 5 personas,CALLE,LOS NOGALES,,,COLONIA,PRADOS DE SAN JORGE,,,,66129,19,NuevoLeon,48,Santa Catarina,1,Ciudad Santa Catarina                                                                                         ,1312,39,1.90E+12,9u8d4,Semifijo,2019-11
25.68706096,-100.4437538,Restaurantes de autoservicio,EL PILLO,,6 a 10 personas,AVENIDA,PERIMETRAL ORIENTE,,,CONJUNTO HABITACIONAL,MARTIRES DE CANANEA,,,,66365,19,NuevoLeon,48,Santa Catarina,1,Ciudad Santa Catarina                                                                                         ,827,26,1.90E+12,9u8d4,Fijo,2019-11
25.76392047,-100.2483714,Servicios de preparación de otros alimentos para consumo inmediato,CLUB DE NUTRICION SIN NOMBRE,,0 a 5 personas,AVENIDA,AVENIDA CONSTITUCION,,,FRACCIONAMIENTO,FRESNOS IV,,,,66636,19,NuevoLeon,6,Apodaca,1,Ciudad Apodaca                                                                                                ,055A,33,190060001055A,9u8dw,Fijo,2019-11
25.78123217,-100.2961033,Restaurantes con servicio de preparación de antojitos,VENTA DE MENUDO SIN NOMBRE,,0 a 5 personas,CALLE,HERMENEGILDO GALEANA,,,COLONIA,16 DE SEPTIEMBRE,,,,66050,19,NuevoLeon,21,General Escobedo,1,Ciudad General Escobedo                                                                                       ,221,63,1.90E+12,9u8dt,Fijo,2014-12
25.66705562,-100.1751824,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",COOPERATIVA ESCOLAR,,0 a 5 personas,CALLE,CARRETERA A REYNOSA,,,COLONIA,CERRO AZUL,,,,67190,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,1480,7,1.90E+12,9u8f0,Fijo,2014-12
25.66870318,-100.3169987,Hoteles con otros servicios integrados,HOTEL TRAVOHOTEL MONTERREY,OPERADORA DE HOTELES TRAVOHOTEL MONTERREY S DE RL DE CV,31 a 50 personas,CALLE,FRAY SERVANDO TERESA DE MIER,,,COLONIA,CENTRO,,,,64000,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,1686,11,1.90E+12,9u8dj,Fijo,2010-07
25.75369434,-100.3559286,Restaurantes con servicio de preparación de tacos y tortas,VENTA DE TACOS SIN NOMBRE,,0 a 5 personas,CALLE,MANUEL BELGRANO,,,COLONIA,FRANCISCO VILLA,,,,64228,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,3396,4,1.90E+12,9u8ds,Semifijo,2019-11
25.75799128,-100.3541132,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",POLLOS ASADOS SIN NOMBRE,,0 a 5 personas,CALLE,LA ESPERANZA,,,COLONIA,ARTICULO 27 CONSTITUCIONAL,,,,64210,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,52,39,1.90E+12,9u8ds,Fijo,2019-11
25.73848588,-100.2747931,Restaurantes que preparan otro tipo de alimentos para llevar,MI SASON,,0 a 5 personas,CALLE,MONTE OLIMPO,,,COLONIA,LAS PUENTES SECTOR 12,,,,66460,19,NuevoLeon,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,1021,21,1.90E+12,9u8dq,Fijo,2019-11
25.71247053,-100.3400857,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,RESTAURANTE 7 MARES,,11 a 30 personas,AVENIDA,ALFONSO REYES,,,COLONIA,BERNARDO REYES,,,,64280,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,758,10,1.90E+12,9u8dk,Fijo,2010-07
27.22689557,-100.1403886,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",COMEDOR ESCOLAR ESCUELA 20 DE NOVIEMBRE,SECRETARIA DE EDUCACION PUBLICA ,0 a 5 personas,CALLE,BENITO JUAREZ,,,COLONIA,INDEPENDENCIA,,,,65040,19,NuevoLeon,5,Anáhuac,1,Anáhuac                                                                                                       ,482,9,1.90E+12,9ubfc,Fijo,2019-11
25.71826697,-100.2176708,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",SANTA CLARA PASEO LA FE SAN NICOLAS DE LOS GARZA,SANTA CLARA MERCANTIL DE PACHUCA S DE RL DE CV,0 a 5 personas,AVENIDA,Carretera Miguel Alemán,,,COLONIA,LA TALAVERNA,CENTRO Y PLAZA COMERCIAL,paseo la fe,,66473,19,NuevoLeon,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,790,1,1.90E+12,9u8dr,Fijo,2020-11
25.6443144,-100.0599408,Restaurantes con servicio de preparación de antojitos,TOSTADAS MARLENE,,0 a 5 personas,AVENIDA,PASEO DE SAN JUAN,,,FRACCIONAMIENTO,MIRADOR DE SAN ANTONIO,,,,67265,19,NuevoLeon,31,Juárez,1,Ciudad Benito Juárez                                                                                          ,1777,68,1.90E+12,9u8cg,Semifijo,2019-11
