,AGEB_mun,Total_venta,mun,Municipio,Ingreso Promedio
2,85006,2348062,6,Apodaca,13390.55
18,1204006,2053803,6,Apodaca,12984.75
38,2255006,2338156,6,Apodaca,13390.55
3,100019,6563633,19,San Pedro Garza García,35827.28
9,365019,2254382,19,San Pedro Garza García,30273.69
10,399019,8866351,19,San Pedro Garza García,35827.28
15,787021,2105267,21,General Escobedo,12578.94
23,1342021,6882970,21,General Escobedo,14434.83
28,1639021,2267858,21,General Escobedo,12578.94
8,317026,6835183,26,Guadalupe,14342.34
11,444026,2044387,26,Guadalupe,16531.22
41,2597026,6378867,26,Guadalupe,14342.34
4,141039,6710392,39,Monterrey,15684.77
16,902039,6669804,39,Monterrey,17238.26
17,1050039,1911154,39,Monterrey,22155.94
20,1243039,6449358,39,Monterrey,15597.36
21,1281039,6787978,39,Monterrey,19949.62
24,1506039,6309878,39,Monterrey,20053.44
25,1544039,9257337,39,Monterrey,22843.26
26,1559039,6285474,39,Monterrey,16973.12
27,1582039,7113992,39,Monterrey,20609
29,1667039,16351367,39,Monterrey,18517.16
30,1671039,6859402,39,Monterrey,19340.24
31,1686039,13130793,39,Monterrey,20383.46
32,1690039,8661309,39,Monterrey,16689.17
33,1741039,8649470,39,Monterrey,16317.47
34,1756039,2256458,39,Monterrey,17676.89
35,1811039,2338565,39,Monterrey,22215.51
36,2025039,2161088,39,Monterrey,17886.13
37,2218039,6642225,39,Monterrey,16167.43
39,2307039,2173549,39,Monterrey,18514.43
40,2400039,2572670,39,Monterrey,17730.67
42,3023039,7004642,39,Monterrey,21752.2
43,3165039,6913895,39,Monterrey,19036.3
44,3610039,2137848,39,Monterrey,15739.05
45,3697039,2247514,39,Monterrey,16457.16
46,445A039,2402568,39,Monterrey,21482.56
47,5087039,2363676,39,Monterrey,18861.7
48,5547039,6697412,39,Monterrey,19632.54
6,219045,2048768,45,Salinas Victoria,9454.92
1,57046,6462879,46,San Nicolás de los Garza,16290.71
5,201046,2677444,46,San Nicolás de los Garza,16290.71
12,049A046,2259626,46,San Nicolás de los Garza,16290.71
19,1233046,4915544,46,San Nicolás de los Garza,16290.71
22,1322046,6697042,46,San Nicolás de los Garza,16290.71
13,545048,2154595,48,Santa Catarina,14479.93
14,564048,6238557,48,Santa Catarina,25153.61
7,307049,6512485,49,Santiago,12844.45
